video_id,author,channel,cleaned_text,likes,reply_count,published_at,vader_sentiment,vader_sentiment_label
8D4kwEgzHc4,@barbecueman6352,http://www.youtube.com/@barbecueman6352,fun fact people living within mile radius coal plant receive much nuclear exposure worker working nuclear plant,0,0,2024-02-29 14:26:42+00:00,0.5106,Positive
8D4kwEgzHc4,@NobleDorito8698,http://www.youtube.com/@NobleDorito8698,dumb idiot,1,0,2023-07-25 04:51:29+00:00,-0.765,Negative
8D4kwEgzHc4,@oscarwalton1188,http://www.youtube.com/@oscarwalton1188,well thats horrible idea given state thing,0,0,2023-06-11 03:46:35+00:00,-0.34,Negative
8D4kwEgzHc4,@DanielKolbin,http://www.youtube.com/@DanielKolbin,guess germany want go back stick stone,1,0,2023-05-09 12:34:03+00:00,0.0772,Positive
8D4kwEgzHc4,@BarManFesteiro,http://www.youtube.com/@BarManFesteiro,germany part destroy planet,0,0,2023-04-24 19:46:25+00:00,-0.5423,Negative
8D4kwEgzHc4,@javionriley8739,http://www.youtube.com/@javionriley8739,great news ancestral country usa following suit next along shutting remaining coal plant,2,0,2023-04-22 19:17:50+00:00,0.6249,Positive
8D4kwEgzHc4,@vorstellung3861,http://www.youtube.com/@vorstellung3861,germany done,1,0,2023-04-17 22:13:09+00:00,0.0,Neutral
8D4kwEgzHc4,,http://www.youtube.com/c/AlfredasJa%C5%A1inskas,wow never thought german weak head,6,0,2023-04-17 21:09:04+00:00,0.7356,Positive
8D4kwEgzHc4,@ForbiddTV,http://www.youtube.com/@ForbiddTV,germany known destroying country determined destroy,0,0,2023-04-17 19:25:24+00:00,-0.6908,Negative
8D4kwEgzHc4,@jokerjoly1,http://www.youtube.com/@jokerjoly1,,0,0,2023-04-17 14:16:01+00:00,0.0,Neutral
8D4kwEgzHc4,@rosshitchen-ij6en,http://www.youtube.com/@rosshitchen-ij6en,moron,0,0,2023-04-17 11:32:31+00:00,-0.4939,Negative
8D4kwEgzHc4,@unclejersey04,http://www.youtube.com/@unclejersey04,dumbest move ever people dumb think good idea,0,1,2023-04-17 10:20:25+00:00,-0.5719,Negative
8D4kwEgzHc4,@kyousukekoyomi9160,http://www.youtube.com/@kyousukekoyomi9160,chernobyl disaster impossible current reactor remember chernobyl reactor old design used current agebrbras fukushima sub standard safety company warned different organisation fukushima also emergency generator bottom floor instead upper floor tsunami flooded generator caused nuclear meltdown generator put upper floor fukushima disaster quotwill never happenquot government protected company staying everyone make mistake company leader always treated never make mistake also limit big mistake make warned time biggest mistake must never forgiven far bigger responsibility compared taxi driver mistakenly hit brbrthey nothing dumb think nuclear dangerous coal mention pay russia money get extra oil gas need russia use extra money kill extra people thanks fukin tree hugger worst think act murderer murderer one think act,1,0,2023-04-17 09:14:43+00:00,-0.9911,Negative
8D4kwEgzHc4,@DobermannJeff,http://www.youtube.com/@DobermannJeff,politic v economy,2,0,2023-04-17 07:22:50+00:00,0.0,Neutral
8D4kwEgzHc4,@happymelon7129,http://www.youtube.com/@happymelon7129,airbus already setup two production line china brsame germany basf follow cheap russia energy chinabrua successful deindustrialize eu,1,0,2023-04-17 06:26:25+00:00,0.7096,Positive
8D4kwEgzHc4,@happymelon7129,http://www.youtube.com/@happymelon7129,need purchasesupport lot xinjiang solar panel made quot forced labour quot,5,0,2023-04-17 06:23:13+00:00,-0.4588,Negative
8D4kwEgzHc4,@richardmorenski5217,http://www.youtube.com/@richardmorenski5217,increase invest capacity alternative energy,2,1,2023-04-16 21:04:32+00:00,0.5267,Positive
8D4kwEgzHc4,@richardmorenski5217,http://www.youtube.com/@richardmorenski5217,one reactor far home appreciate lot final decision,2,3,2023-04-16 21:03:20+00:00,0.4019,Positive
8D4kwEgzHc4,@m.3257,http://www.youtube.com/@m.3257,german must say country stupid country world green party initiated nuclear energy shutdown time produce lack electricity via coal much harmful environment climate change nuclear energy plant best safest world without reason shut germany already highest energy price world,1,3,2023-04-16 18:12:07+00:00,0.8481,Positive
8D4kwEgzHc4,@mkhululimakhunga7467,http://www.youtube.com/@mkhululimakhunga7467,sure germany want like south africa rolling blackout,34,5,2023-04-16 09:17:42+00:00,0.6249,Positive
8D4kwEgzHc4,@raginald7mars408,http://www.youtube.com/@raginald7mars408,quotgermanyquotbrgroup terroristsbr votersbrhate,1,1,2023-04-16 08:43:41+00:00,0.0,Neutral
8D4kwEgzHc4,@Shining237,http://www.youtube.com/@Shining237,bad move getting rid nuclear power nord stream pipeline cheap russian gas going bankrupt funding needle war germany indeed deindustrializg amp turning back clock,0,0,2023-04-16 07:22:04+00:00,-0.9001,Negative
8D4kwEgzHc4,@poinky8,http://www.youtube.com/@poinky8,moron,0,0,2023-04-16 07:12:51+00:00,-0.4939,Negative
8D4kwEgzHc4,@mohammadazhad5441,http://www.youtube.com/@mohammadazhad5441,report murdered former mp atiq ahmad india,1,0,2023-04-16 05:53:41+00:00,-0.6597,Negative
8D4kwEgzHc4,@GlobexCorporationHank,http://www.youtube.com/@GlobexCorporationHank,congratulation dumbest country world happened german efficiency progress dumb dumb dumb,2,0,2023-04-16 05:39:17+00:00,-0.6124,Negative
8D4kwEgzHc4,@Madlad2040,http://www.youtube.com/@Madlad2040,close nuclear power plant use coal quotgermansquot queue history guy meme,28,0,2023-04-16 05:01:36+00:00,0.0,Neutral
8D4kwEgzHc4,@ChatGPT3.00,http://www.youtube.com/@ChatGPT3.00,moment need,30,0,2023-04-16 04:51:23+00:00,0.0,Neutral
8D4kwEgzHc4,@terrycompton6098,http://www.youtube.com/@terrycompton6098,victory coward,14,5,2023-04-16 04:34:45+00:00,-0.4588,Negative
8D4kwEgzHc4,@kanvers4699,http://www.youtube.com/@kanvers4699,need russia oil,8,1,2023-04-16 04:22:29+00:00,0.0,Neutral
8D4kwEgzHc4,@zico739,http://www.youtube.com/@zico739,idiotic,1,0,2023-04-16 04:10:22+00:00,-0.5574,Negative
QSt0aEQH6zs,@karstenkailer4669,http://www.youtube.com/@karstenkailer4669,thanks concern fine,0,0,2024-10-23 11:29:14+00:00,0.5719,Positive
QSt0aEQH6zs,@jcBurton2094,http://www.youtube.com/@jcBurton2094,understand merkels decision could perfectly well earthquake north sea triggering tsunami reaching way middle germany thank uploading every word youre saying ring oh true nuclear phaseout germany born kind romantic quotgreenquot ideal coupled hysteric overreaction moment strike utterly idiotic lead wider european supply shortage unpredictability sometimes unreasonably high energy price,0,0,2024-03-20 15:57:52+00:00,0.9424,Positive
QSt0aEQH6zs,@srb1855,http://www.youtube.com/@srb1855,ill give way describe money brain,0,0,2023-08-10 02:22:49+00:00,-0.4215,Negative
QSt0aEQH6zs,@davidaknox1,http://www.youtube.com/@davidaknox1,yes quite ridiculous witnessing insane government decision around world including country australia abundance coal gas uranium yet want power nation using pinwheel amp mirror,0,0,2023-04-28 22:25:15+00:00,-0.4131,Negative
QSt0aEQH6zs,@gtranquilla,http://www.youtube.com/@gtranquilla,perhaps politician bureaucrat trying make citizen totally dependent government handoutscitizens also stupid understand energy science realitiesa vote demise consequence,0,0,2023-04-28 12:21:13+00:00,-0.3182,Negative
QSt0aEQH6zs,@JoeZorzin,http://www.youtube.com/@JoeZorzin,robert commenters claim youre wrong confirm youre number le correct,1,0,2023-04-26 12:13:06+00:00,-0.4215,Negative
QSt0aEQH6zs,@BB-cf9gx,http://www.youtube.com/@BB-cf9gx,dumb,0,0,2023-04-26 09:10:46+00:00,-0.5106,Negative
QSt0aEQH6zs,@MrSjengster,http://www.youtube.com/@MrSjengster,america gun law dumb insane,0,0,2023-04-26 08:33:11+00:00,-0.8126,Negative
QSt0aEQH6zs,@chrisspeksnijder1717,http://www.youtube.com/@chrisspeksnijder1717,nuclear plant switched lefty wokies stupid german government run die grnen liberal socal democrat gone two year till election day,1,0,2023-04-26 07:06:17+00:00,-0.8074,Negative
QSt0aEQH6zs,@TokyoTower936,http://www.youtube.com/@TokyoTower936,incredibly stupid drag country europe france,0,0,2023-04-26 06:47:54+00:00,-0.707,Negative
QSt0aEQH6zs,@billyrocket62,http://www.youtube.com/@billyrocket62,another example insanity woke mind virus regardless great attribute firmly anti nuclear fact nuclear power make sense mean nothing must destroyed logic pointless fact irrelevant must obey agenda german government drank kool aid,0,0,2023-04-26 06:16:25+00:00,0.1847,Positive
